,accuracy,auc,precision,recall,f1,mcc
logistic_regression,0.8543013426156141,0.9135886206017961,0.7502008032128514,0.6218375499334221,0.6800145613396432,0.5910876116044996
decision_tree,0.8151831592905685,0.7510019010920774,0.6303030303030303,0.6231691078561917,0.6267157683294275,0.5039245876397218
knn,0.8340792308967346,0.8672329338855485,0.6832479882955377,0.6218375499334221,0.6510979435343325,0.5436094581799102
naive_bayes,0.6010276810873529,0.8300160221889096,0.3794940079893475,0.9487350199733688,0.5421342971276394,0.38756067140860234
random_forest,0.859771258080557,0.9114342063153638,0.7578616352201258,0.6418109187749668,0.6950252343186734,0.6083117412006496
xgboost,0.8766782695176529,0.9342040378149519,0.7933436532507739,0.6824234354194407,0.733715103793844,0.6572028934653309
